Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,26.711,1.000,0.079,0.960,0.034,0.661
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,81.611,0.868,0.907,0.873,0.394,0.662
BOOKKEEPER,5,IBK,NO_SELECTION,UNDERSAMPLING,SENSITIVE_LEARNING,87.383,0.975,0.863,0.892,0.667,0.662
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,78.297,0.959,0.727,0.874,0.550,0.664
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,72.527,0.810,0.804,0.790,0.331,0.638
BOOKKEEPER,1,IBK,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,78.297,0.959,0.727,0.825,0.550,0.619
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,74.053,0.997,0.718,0.859,0.299,0.604
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,80.114,0.948,0.828,0.805,0.218,0.617
BOOKKEEPER,2,IBK,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,69.886,0.982,0.683,0.778,0.226,0.575
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,93.088,0.926,1.000,0.822,0.628,0.641
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,86.029,0.901,0.942,0.773,0.326,0.631
BOOKKEEPER,3,IBK,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,91.912,0.925,0.986,0.757,0.584,0.637
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,91.231,0.916,0.983,0.858,0.673,0.670
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,83.310,0.875,0.927,0.844,0.394,0.656
BOOKKEEPER,4,IBK,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,90.382,0.917,0.969,0.796,0.653,0.670
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,96.510,0.962,0.995,0.985,0.887,0.691
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,84.564,0.906,0.899,0.889,0.530,0.665
BOOKKEEPER,5,IBK,NO_SELECTION,SMOTE,NO_COST_SENSITIVE,95.436,0.967,0.976,0.928,0.857,0.691
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,29.396,1.000,0.012,0.506,0.007,0.664
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,71.154,0.822,0.762,0.674,0.330,0.638
BOOKKEEPER,1,IBK,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,78.297,0.959,0.727,0.825,0.550,0.619
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,32.955,1.000,0.266,0.633,0.059,0.604
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,78.409,0.947,0.809,0.665,0.196,0.617
BOOKKEEPER,2,IBK,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,69.886,0.982,0.683,0.776,0.226,0.575
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,50.735,0.967,0.445,0.674,0.143,0.641
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,82.941,0.931,0.867,0.729,0.388,0.631
BOOKKEEPER,3,IBK,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,91.471,0.925,0.981,0.738,0.568,0.637
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,81.188,0.937,0.824,0.792,0.486,0.670
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,83.310,0.927,0.862,0.785,0.510,0.656
BOOKKEEPER,4,IBK,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,90.382,0.917,0.969,0.796,0.653,0.670
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,90.738,0.991,0.892,0.930,0.751,0.691
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,82.282,0.949,0.821,0.825,0.544,0.665
BOOKKEEPER,5,IBK,NO_SELECTION,SMOTE,SENSITIVE_THRESHOLD,95.436,0.967,0.976,0.922,0.857,0.691
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,71.429,0.822,0.765,0.780,0.335,0.626
BOOKKEEPER,1,IBK,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,78.297,0.959,0.727,0.825,0.550,0.619
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,18.182,1.000,0.104,0.854,0.020,0.584
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,78.409,0.947,0.809,0.801,0.196,0.617
BOOKKEEPER,2,IBK,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,69.886,0.982,0.683,0.778,0.226,0.575
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,44.118,0.986,0.358,0.821,0.121,0.618
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,84.265,0.917,0.899,0.792,0.365,0.631
BOOKKEEPER,3,IBK,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,91.471,0.925,0.981,0.757,0.568,0.633
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,79.349,0.957,0.780,0.882,0.482,0.662
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,83.310,0.916,0.875,0.848,0.492,0.663
BOOKKEEPER,4,IBK,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,90.382,0.917,0.969,0.796,0.653,0.670
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,87.785,0.985,0.860,0.981,0.682,0.679
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,SMOTE,SENSITIVE_LEARNING,82.148,0.937,0.831,0.893,0.528,0.665
